! description at the end of the file
! don't change the number of comment lines!
! 
! n_elements
10
! LIST OF ELEMENTS
H
He
C
N
O
Mg
Si
S 
Fe
Pa
!
! (need PAHs 'Pa' as a separate element for stability issues)
!
! n_species
109
! LIST OF SPECIES
!             < Initial     amu chr H  He C  N  O  Mg Si S  Fe Pa
H               1.000e+00     1  0  1  0  0  0  0  0  0  0  0  0
He              7.590e-02     4  0  0  1  0  0  0  0  0  0  0  0
C               1.350e-04    12  0  0  0  1  0  0  0  0  0  0  0
N               2.140e-05    14  0  0  0  0  1  0  0  0  0  0  0
O               2.880e-04    16  0  0  0  0  0  1  0  0  0  0  0
Mg              1.000e-11    24  0  0  0  0  0  0  1  0  0  0  0
Si              1.000e-11    28  0  0  0  0  0  0  0  1  0  0  0
S               1.000e-08    32  0  0  0  0  0  0  0  0  1  0  0
Fe              1.000e-11    56  0  0  0  0  0  0  0  0  0  1  0
H2              0.0e+00       2  0  2  0  0  0  0  0  0  0  0  0
H2*             0.0e+00       2  0  2  0  0  0  0  0  0  0  0  0
CH              0.0e+00      13  0  1  0  1  0  0  0  0  0  0  0
CH2             0.0e+00      14  0  2  0  1  0  0  0  0  0  0  0
NH              1.0e-04      15  0  1  0  0  1  0  0  0  0  0  0
CH3             0.0e+00      15  0  3  0  1  0  0  0  0  0  0  0
NH2             0.0e+00      16  0  2  0  0  1  0  0  0  0  0  0
CH4             0.0e+00      16  0  4  0  1  0  0  0  0  0  0  0
OH              0.0e+00      17  0  1  0  0  0  1  0  0  0  0  0
NH3             0.0e+00      17  0  3  0  0  1  0  0  0  0  0  0
H2O             0.0e+00      18  0  2  0  0  0  1  0  0  0  0  0
CO              0.0e+00      28  0  0  0  1  0  1  0  0  0  0  0
HCN             0.0e+00      27  0  1  0  1  1  0  0  0  0  0  0
HCO             1.0e-04      29  0  1  0  1  0  1  0  0  0  0  0
NO              0.0e+00      30  0  0  0  0  1  1  0  0  0  0  0
H2CO            0.0e+00      30  0  2  0  1  0  1  0  0  0  0  0
O2              0.0e+00      32  0  0  0  0  0  2  0  0  0  0  0
HS              0.0e+00      33  0  1  0  0  0  0  0  0  1  0  0
H2S             0.0e+00      34  0  2  0  0  0  0  0  0  1  0  0
CO2             0.0e+00      44  0  0  0  1  0  2  0  0  0  0  0
SO              0.0e+00      48  0  0  0  0  0  1  0  0  1  0  0
OCS             0.0e+00      60  0  0  0  1  0  1  0  0  1  0  0
CN              1.0e-04      26  0  0  0  1  1  0  0  0  0  0  0
N2              0.0e+00      28  0  0  0  0  2  0  0  0  0  0  0
SiH             0.0e+00      29  0  1  0  0  0  0  0  1  0  0  0
CS              0.0e+00      44  0  0  0  1  0  0  0  0  1  0  0
HCS             0.0e+00      45  0  1  0  1  0  0  0  0  1  0  0
SO2             0.0e+00      64  0  0  0  0  0  2  0  0  1  0  0
SiO             0.0e+00      44  0  0  0  0  0  1  0  1  0  0  0
H2CS            0.0e+00      46  0  2  0  1  0  0  0  0  1  0  0
H+              0.0e+00       1 +1  1  0  0  0  0  0  0  0  0  0
H-              0.0e+00       1 -1  1  0  0  0  0  0  0  0  0  0
H2+             0.0e+00       2 +1  2  0  0  0  0  0  0  0  0  0
H3+             0.0e+00       3 +1  3  0  0  0  0  0  0  0  0  0
He+             0.0e+00       4 +1  0  1  0  0  0  0  0  0  0  0
HCO+            0.0e+00      29 +1  1  0  1  0  1  0  0  0  0  0
C+              0.0e+00      12 +1  0  0  1  0  0  0  0  0  0  0
CH+             0.0e+00      13 +1  1  0  1  0  0  0  0  0  0  0
N+              0.0e+00      14 +1  0  0  0  1  0  0  0  0  0  0
CH2+            0.0e+00      14 +1  2  0  1  0  0  0  0  0  0  0
NH+             0.0e+00      15 +1  1  0  0  1  0  0  0  0  0  0
CH3+            0.0e+00      15 +1  3  0  1  0  0  0  0  0  0  0
O+              0.0e+00      16 +1  0  0  0  0  1  0  0  0  0  0
NH2+            0.0e+00      16 +1  2  0  0  1  0  0  0  0  0  0
CH4+            0.0e+00      16 +1  4  0  1  0  0  0  0  0  0  0
OH+             0.0e+00      17 +1  1  0  0  0  1  0  0  0  0  0
NH3+            0.0e+00      17 +1  3  0  0  1  0  0  0  0  0  0
CH5+            0.0e+00      17 +1  5  0  1  0  0  0  0  0  0  0
H2O+            0.0e+00      18 +1  2  0  0  0  1  0  0  0  0  0
H3O+            0.0e+00      19 +1  3  0  0  0  1  0  0  0  0  0
Mg+             0.0e+00      24 +1  0  0  0  0  0  1  0  0  0  0
CN+             0.0e+00      26 +1  0  0  1  1  0  0  0  0  0  0
